Constraint,Contingency,Hrs,% Hrs,Total $,Avg $,Max $,Constraint,,Map this to EQ code from mapping document,Mapped monitored lines from bus,Mapped monitored lines from bus Name,Mapped monitored lines To bus,Mapped monitored lines from bus Name,Contingency from bus number,Contingency From bus name,Contingency To bus number,Contingency to bus name
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,BASE CASE,247,33.20%,"$4,187.96",$5.63,$546.55,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,#N/A,#N/A,#N/A,#N/A
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,SBROALP9,213,28.63%,"$14,294.16",$19.21,$280.32,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,6666,ALPINE2A,6674,BRONCO2A
NCDSE-HNRSW 138KV 1170__A,DENTSCS5,201,27.02%,"$6,026.00",$8.10,$347.34,NCDSE-HNRSW,138KV,1170__A,3120,NACOGDSE_8,3319,HERTYNOR_8,3116,MTENTRPR,3124,TRINDAD2
HAMILTON-MAVERICK 138KV HAMILT_MAVERI1_1,SBRAUVA8,190,25.54%,"$18,239.06",$24.51,$412.36,HAMILTON-MAVERICK,138KV,HAMILT_MAVERI1_1,8255,HAMILTON4A,8692,MAVERICK4A,8246,ASPHALT4,78424,L_BLEWE
SCRCV-KNAPP 138KV 6437__F,DMTSCOS5,173,23.25%,"$18,936.84",$25.45,$366.57,SCRCV-KNAPP,138KV,6437__F,1310,KNAPP_8,1312,SCURYCHV_8,11305,DERMOTT,11318,SCURCNT
WGROB-BLMND 138KV 6270__C,DEMSSAG8,137,18.41%,"$31,970.11",$42.97,"$2,619.49",WGROB-BLMND,138KV,6270__C,2071,BLUEMD1_8,2076,WAGROBT2_8,1864,MORRIS_D,11860,EAGLEMN
RAYMND2 138KV RAYMND2_69A1,SRAYRI28,135,18.15%,"$10,300.31",$13.84,$624.82,RAYMND2,138KV,RAYMND2_69A1,#N/A,#N/A,#N/A,#N/A,8319,RIOHONDO,80309,LASPULG
BRUNI 138KV BRUNI_69_1,SLAQLOB8,134,18.01%,"$19,050.05",$25.60,$497.98,BRUNI,138KV,BRUNI_69_1,#N/A,#N/A,#N/A,#N/A,80221,LOBO4A,80439,LAQUINT
BRONCO-ALPINE 69KV ALPINE_BRONCO1_1,SWCSBOO8,120,16.13%,"$3,103.06",$4.17,$110.19,BRONCO-ALPINE,69KV,ALPINE_BRONCO1_1,6666,ALPINE2A,6674,BRONCO2A,60383,LINTERN,60385,SOLSTIC
PNHNDL,BASE CASE,120,16.13%,$121.10,$0.16,$18.35,PNHNDL,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FTST-LINTERNA 138KV FTST_LINTER1_1,SBROALP9,99,13.31%,$274.74,$0.37,$19.43,FTST-LINTERNA,138KV,FTST_LINTER1_1,6630,FTST4A,60383,LINTERNA4A,6666,ALPINE2A,6674,BRONCO2A
RIOHONDO-MV_BURNS 138KV BURNS_RIOHONDO_1,BASE CASE,89,11.96%,"$47,667.12",$64.07,"$5,520.52",RIOHONDO-MV_BURNS,138KV,BURNS_RIOHONDO_1,5763,BURNSSUB8,8319,RIOHONDO4A,#N/A,#N/A,#N/A,#N/A
FRDSWOOD-SEMINOLE 138KV G138_10C_1,SMDOPHR5,89,11.96%,"$12,233.52",$16.44,"$2,041.67",FRDSWOOD-SEMINOLE,138KV,G138_10C_1,38980,TNFRDSWOOD1,38990,TNSEMINOLE1,42000,P_H_R__,43030,MEADOW_
SOLSTICE-PIGCREEK 138KV PIGCRE_SOLSTI1_1,BASE CASE,89,11.96%,"$4,319.74",$5.81,$350.46,SOLSTICE-PIGCREEK,138KV,PIGCRE_SOLSTI1_1,60385,SOLSTICE4A,60393,PIGCREEK4A,#N/A,#N/A,#N/A,#N/A
COLETO-ROSATA 138KV COLETO_ROSATA1_1,SCOLPAW5,74,9.95%,"$3,319.42",$4.46,$306.33,COLETO-ROSATA,138KV,COLETO_ROSATA1_1,8162,COLETO4A,88153,ROSATATP4A,5725,PAWNEESW,8164,COLETO7A
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,SNORODE5,64,8.60%,$950.19,$1.28,$547.12,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,11028,ODESEHV,76000,L_NORTM
FTST-LINTERNA 138KV FTST_LINTER1_1,BASE CASE,64,8.60%,$142.51,$0.19,$19.12,FTST-LINTERNA,138KV,FTST_LINTER1_1,6630,FTST4A,60383,LINTERNA4A,#N/A,#N/A,#N/A,#N/A
RIOHONDO-MV_BURNS 138KV BURNS_RIOHONDO_1,DRIOHAR5,61,8.20%,"$7,636.03",$10.26,"$2,045.16",RIOHONDO-MV_BURNS,138KV,BURNS_RIOHONDO_1,5763,BURNSSUB8,8319,RIOHONDO4A,8319,RIOHONDO,8359,S_SNROSA
LAN-BRN 138KV BRNLAN86_A,DCHBJOR5,49,6.59%,"$2,621.55",$3.52,"$1,635.73",LAN-BRN,138KV,BRNLAN86_A,40220,BRINE__X86T8,40775,LNGSTN_X86B8,40000,CEDARP_,40850,JORDAN_
ALVIN-MAINLAND 138KV 138_ALV_MNL_1,SMDOPHR5,40,5.38%,"$2,407.26",$3.24,$583.33,ALVIN-MAINLAND,138KV,138_ALV_MNL_1,38830,TNMAINLAND1,39030,TNALVIN___1,42000,P_H_R__,43030,MEADOW_
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,SBAKBIG5,39,5.24%,$841.69,$1.13,$95.01,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,76003,L_BIGHI,76005,L_SCHND
NEDIN 345KV NEDIN_138H,XNED258,38,5.11%,"$9,476.78",$12.74,"$4,125.00",NEDIN,345KV,NEDIN_138H,#N/A,#N/A,#N/A,#N/A,8380,NEDIN4A,138,8383
SONR 138KV SONR_69-1,SSONFRI8,36,4.84%,"$2,160.81",$2.90,$309.86,SONR,138KV,SONR_69-1,#N/A,#N/A,#N/A,#N/A,6515,SONR4A,6562,FDRAN4A
SONR-BONDROAD 69KV BONDRO_SONR1_1,DBIGKEN5,33,4.44%,"$2,583.16",$3.47,$431.63,SONR-BONDROAD,69KV,BONDRO_SONR1_1,6513,SONR2A,6570,BONDROAD2A,7046,L_KENDAL,60618,EDISON7
GNTSW-SPRTP 138KV 6345__B,SWLFMON8,28,3.76%,$423.41,$0.57,$119.83,GNTSW-SPRTP,138KV,6345__B,1053,GENRUBR_8,1099,SWPORTAP_8,1107,MONAHN2T,1108,MONAHN2_
HAMILTON-MAVERICK 138KV HAMILT_MAVERI1_1,SBRAHAM8,21,2.82%,"$2,293.90",$3.08,$344.50,HAMILTON-MAVERICK,138KV,HAMILT_MAVERI1_1,8255,HAMILTON4A,8692,MAVERICK4A,8252,BRACKETT,8255,HAMILTON
WICKETT 138KV WICKETT_WAT1,DCULYUC8,19,2.55%,"$16,257.33",$21.85,"$2,333.33",WICKETT,138KV,WICKETT_WAT1,#N/A,#N/A,#N/A,#N/A,11105,PECONE_,11182,MCLLVAI
