Contingency,DeviceName,DeviceType,Action
DSOEPHR8,42291 GNO_CK_ 43101 PLARIS_ 95,LINE,OUT
DSOEPHR8,42240 CARDIF_ 43250 SOUTH__ 96,LINE,OUT
DSOEPHR8,42291 GNO_CK_ 42611 FAIRMT9 95,LINE,OUT
DSOEPHR8,42010 P_H_R__ 42013 P_H_R_7 79,LINE,OUT
DSOEPHR8,42841 KEMAH_9 43101 PLARIS_ 95,LINE,OUT
DSOEPHR8,42711 GENOA95 48122 GENOA_9 95,LINE,OUT
DSOEPHR8,42611 FAIRMT9 43250 SOUTH__ 95,LINE,OUT
DSOEPHR8,42010 P_H_R__ 42841 KEMAH_9 95,LINE,OUT
DSPIMCN8,7356 L_MARSFO 7542 L_SPICEW 1,LINE,OUT
DSPIMCN8,7334 L_MCNEIL 7542 L_SPICEW 1,LINE,OUT
DSPRDAF8,9187 DECK_MB1 9271 SPRINKLE 1,LINE,OUT
DSPRDAF8,9184 DAFFIN_G 9271 SPRINKLE 1,LINE,OUT
DSRBATK8,41391 ALEXIS8 41400 S_R_B__ 87,LINE,OUT
DSRBATK8,41310 QUANAB_ 41400 S_R_B__ 06,LINE,OUT
DSRBATK8,40120 ARITEK_ 41391 ALEXIS8 87,LINE,OUT
DSRBDPW9,41380 S_CHAN_ 41410 S_R_B__ 16,LINE,OUT
DSRBDPW9,40470 DEPWTR_ 41415 S_R_B__ 23,LINE,OUT
DSRB_ST8,41400 S_R_B__ 41490 STATE__ 21,LINE,OUT
DSRB_ST8,41400 S_R_B__ 41480 SOLMER_ 21,LINE,OUT
DSTAMRN8,41165 NOBEL__ 41490 STATE__ 21,LINE,OUT
DSTAMRN8,40442 DEERPK9 41100 MORGPT_ 96,LINE,OUT
DSTAMRN8,40441 DEERPK2 41632 UNDRWD2 21,LINE,OUT
DSTAMRN8,41165 NOBEL__ 41632 UNDRWD2 21,LINE,OUT
DSTAMRN8,40441 DEERPK2 41510 STRAW__ 21,LINE,OUT
DSTAMRN8,40442 DEERPK9 42240 CARDIF_ 96,LINE,OUT
DSTOCIB8,5051 BULVERDE 5415 STONEGAT 1,LINE,OUT
DSTOCIB8,5051 BULVERDE 5180 GREEN_MT 1,LINE,OUT
DSTOCIB8,5093 CIBOLOCR 5415 STONEGAT 1,LINE,OUT
DSTOHIL8,5210 HILLCTY1 5415 STONEGAT 1,LINE,OUT
DSTOHIL8,5331 PANTHER 5415 STONEGAT 1,LINE,OUT
DSTPDOW5,5915 SO_TEX__ 42500 DOW____ 27,LINE,OUT
DSTPDOW5,5915 SO_TEX__ 42530 JONCRK_ 18,LINE,OUT
DSTPHLJ5,5915 SO_TEX__ 44200 HILLJE_ 64,LINE,OUT
DSTPHLJ5,5133 ELMCREEK 5915 SO_TEX__ 2,LINE,OUT
DSTPWHI5,5915 SO_TEX__ 8956 WHITEPT7 1,LINE,OUT
DSTPWHI5,5915 SO_TEX__ 44200 HILLJE_ 1,LINE,OUT
DSWECBF5,11406 CENTBLU 11420 SWEETEA 2,LINE,OUT
DSWECBF5,11406 CENTBLU 11420 SWEETEA 1,LINE,OUT
DSWECCR5,11420 SWEETEA 71050 L_BITTC 1,LINE,OUT
DSWECCR5,1414 CHAMPNCR 11420 SWEETEA 1,LINE,OUT
DSWELNC5,6235 ABMULCW7 11420 SWEETEA 1,LINE,OUT
DSWELNC5,1435 LONGCREK 11420 SWEETEA 1,LINE,OUT
DSWETKW5,11048 TONKAWA 11420 SWEETEA 2,LINE,OUT
DSWETKW5,11048 TONKAWA 11420 SWEETEA 1,LINE,OUT
DSWYJEW8,3614 MEXIA_NO 69 3632 MEXIA2_1 138 1,XFMR,OUT
DSWYJEW8,3501 SEATEAG_ 3503 FAIRWPOD 1,LINE,OUT
DSWYJEW8,3501 SEATEAG_ 3502 SEATEAG1 1,LINE,OUT
DSWYJEW8,3394 JEWETTA_ 3501 SEATEAG_ 1,LINE,OUT
DTABSTE8,32879 BRYN_ST 32882 BRYN_TA 1,LINE,OUT
DTABSTE8,32859 BRYN_JK 32882 BRYN_TA 1,LINE,OUT
DTB_RTW8,46510 TOMBAL_ 46520 TOMBAL_ 81,LINE,OUT
DTB_RTW8,46051 LOUETA_ 46570 WESFLD_ 66,LINE,OUT
DTB_RTW8,46051 LOUETA_ 46295 RTHWOD_ 66,LINE,OUT
DTB_RTW8,46052 LOUETA_ 46570 WESFLD_ 81,LINE,OUT
DTB_RTW8,46052 LOUETA_ 46512 TOMBAL_ 81,LINE,OUT
