Contingency,DeviceName,DeviceType,Action,From Bus Number ,From Bus Name ,To Bus Number ,To Bus Name ,Circuit ID ,,
DADEWES8,5754 ADERHOLD 8360 ELSA4A 1,LINE,OUT,5754,ADERHOLD,8360,ELSA4A,1,,
DADEWES8,5754 ADERHOLD 8963 HEC4A 1,LINE,OUT,5754,ADERHOLD,8963,HEC4A,1,,
DADEWES8,8354 WESLACO4 8360 ELSA4A 1,LINE,OUT,8354,WESLACO4,8360,ELSA4A,1,,
DADNPLW8,40475 DEUSEN_ 40912 KING__9 94,LINE,OUT,40475,DEUSEN_,40912,KING__9,94,,
DADNPLW8,40912 KING__9 111263 CHAMON 94,LINE,OUT,40912,KING__9,111263,CHAMON,94,,
DADNPLW8,41150 NEWPRT_ 906168 LOCKWD 86,LINE,OUT,41150,NEWPRT_,906168,LOCKWD,86,,
DADNPLW8,45640 ALDINE_ 45821 GREENS8 86,LINE,OUT,45640,ALDINE_,45821,GREENS8,86,,
DADNPLW8,45821 GREENS8 906168 LOCKWD 86,LINE,OUT,45821,GREENS8,906168,LOCKWD,86,,
DADNPLW8,46032 LOCKWD8 46331 SCENIC8 86,LINE,OUT,46032,LOCKWD8,46331,SCENIC8,86,,
DAD_BY_8,45640 ALDINE_ 46281 RITTEN8 86,LINE,OUT,45640,ALDINE_,46281,RITTEN8,86,,
DAD_BY_8,45670 BERRY__ 45840 HARDY__ 95,LINE,OUT,45670,BERRY__,45840,HARDY__,95,,
DAD_BY_8,45840 HARDY__ 45850 HARDY__ 21,LINE,OUT,45840,HARDY__,45850,HARDY__,21,,
DAD_BY_8,45840 HARDY__ 46281 RITTEN8 86,LINE,OUT,45840,HARDY__,46281,RITTEN8,86,,
DAD_CS_8,40391 CROSBY_ 905593 CROSBY 66,LINE,OUT,40391,CROSBY_,905593,CROSBY,66,,
DAD_CS_8,40392 CROSBY_ 905593 CROSBY 19,LINE,OUT,40392,CROSBY_,905593,CROSBY,19,,
DAD_CS_8,40393 CROSBY_ 34.5 905593 CROSBY 138 1,XFMR,OUT,40393,CROSBY_,905593,CROSBY,1,138,
DAD_CS_8,41150 NEWPRT_ 905593 CROSBY 86,LINE,OUT,41150,NEWPRT_,905593,CROSBY,86,,
DAD_CS_8,41150 NEWPRT_ 906168 LOCKWD 86,LINE,OUT,41150,NEWPRT_,906168,LOCKWD,86,,
DAD_CS_8,45640 ALDINE_ 45821 GREENS8 86,LINE,OUT,45640,ALDINE_,45821,GREENS8,86,,
DAD_CS_8,45821 GREENS8 906168 LOCKWD 86,LINE,OUT,45821,GREENS8,906168,LOCKWD,86,,
DAD_CS_8,46032 LOCKWD8 46331 SCENIC8 86,LINE,OUT,46032,LOCKWD8,46331,SCENIC8,86,,
DAE_AE_8,42110 ANGLTN_ 43150 RIWOOD_ 82,LINE,OUT,42110,ANGLTN_,43150,RIWOOD_,82,,
DAE_AE_8,42110 ANGLTN_ 43300 STRATT_ 26,LINE,OUT,42110,ANGLTN_,43300,STRATT_,26,,
DAF_BI_8,44020 ALIEF__ 44310 HAYES__ 09,LINE,OUT,44020,ALIEF__,44310,HAYES__,9,,
DAF_BI_8,44120 BRITMR_ 44311 HAYES_2 24,LINE,OUT,44120,BRITMR_,44311,HAYES_2,24,,
DAF_BI_8,44311 HAYES_2 44762 WCHASE2 24,LINE,OUT,44311,HAYES_2,44762,WCHASE2,24,,
DAF_BI_8,44762 WCHASE2 47072 DUNVAL_ 24,LINE,OUT,44762,WCHASE2,47072,DUNVAL_,24,,
DAF_BI_8,47010 BELAIR_ 47012 BELAIR_ 37,LINE,OUT,47010,BELAIR_,47012,BELAIR_,37,,
DAF_BI_8,47014 BELAIR2 47442 ULRICH_ 24,LINE,OUT,47014,BELAIR2,47442,ULRICH_,24,,
DAF_BI_8,47072 DUNVAL_ 47191 HILCRF2 24,LINE,OUT,47072,DUNVAL_,47191,HILCRF2,24,,
DAF_BI_8,47191 HILCRF2 47442 ULRICH_ 24,LINE,OUT,47191,HILCRF2,47442,ULRICH_,24,,
DAJSALI5,79500 ALIBATE 79504 AJ_SWOP 1,LINE,OUT,79500,ALIBATE,79504,AJ_SWOP,1,,
DAJSALI5,79500 ALIBATE 79504 AJ_SWOP 2,LINE,OUT,79500,ALIBATE,79504,AJ_SWOP,2,,
DAJ_DEA5,79502 WINDMIL 79504 AJ_SWOP 2,LINE,OUT,79502,WINDMIL,79504,AJ_SWOP,2,,
DAJ_DEA5,79504 AJ_SWOP 79513 DEAFSMI 1,LINE,OUT,79504,AJ_SWOP,79513,DEAFSMI,1,,
DALAVAL8,5007 ALAMO1_8 5297 MAUERMAN 1,LINE,OUT,5007,ALAMO1_8,5297,MAUERMAN,1,,
DALAVAL8,5053 CAGNON3_ 5465 VALLEY 1,LINE,OUT,5053,CAGNON3_,5465,VALLEY,1,,
DALIRAI5,79000 GRAY 79500 ALIBATE 1,LINE,OUT,79000,GRAY,79500,ALIBATE,1,,
DALIRAI5,79005 RAILHEA 79500 ALIBATE 2,LINE,OUT,79005,RAILHEA,79500,ALIBATE,2,,
DALITUL5,79500 ALIBATE 79503 TULECNY 1,LINE,OUT,79500,ALIBATE,79503,TULECNY,1,,
DALITUL5,79500 ALIBATE 79503 TULECNY 2,LINE,OUT,79500,ALIBATE,79503,TULECNY,2,,
DALNBND8,2477 PRKMXCRK 2509 ALLENSW_ 1,LINE,OUT,2477,PRKMXCRK,2509,ALLENSW_,1,,
DALNBND8,2477 PRKMXCRK 6862 PKRMX_RC 1,LINE,OUT,2477,PRKMXCRK,6862,PKRMX_RC,1,,
DALNBND8,2477 PRKMXCRK 6863 PKRMX_RC 2,LINE,OUT,2477,PRKMXCRK,6863,PKRMX_RC,2,,
DALNBND8,2477 PRKMXCRK 6864 PKRMX_RC 1,LINE,OUT,2477,PRKMXCRK,6864,PKRMX_RC,1,,
DALNBND8,2510 ALLENSW_ 2691 PL_SHILO 1,LINE,OUT,2510,ALLENSW_,2691,PL_SHILO,1,,
DALNBND8,2687 PL_JUPTR 2690 RICH_E_8 1,LINE,OUT,2687,PL_JUPTR,2690,RICH_E_8,1,,
DALNBND8,2687 PL_JUPTR 2691 PL_SHILO 1,LINE,OUT,2687,PL_JUPTR,2691,PL_SHILO,1,,
DALNBND8,968 BENDAVIS_ 2477 PRKMXCRK 1,LINE,OUT,968,BENDAVIS_,2477,PRKMXCRK,1,,
DALNPWS8,2509 ALLENSW_ 2678 PL_PARKR 1,LINE,OUT,2509,ALLENSW_,2678,PL_PARKR,1,,
DALNPWS8,2510 ALLENSW_ 2677 PL_ALMA_ 1,LINE,OUT,2510,ALLENSW_,2677,PL_ALMA_,1,,
DALNPWS8,2673 PL_WEST_ 2674 PL_8 1,LINE,OUT,2673,PL_WEST_,2674,PL_8,1,,
DALNPWS8,2673 PL_WEST_ 2677 PL_ALMA_ 1,LINE,OUT,2673,PL_WEST_,2677,PL_ALMA_,1,,
DALNPWS8,2674 PL_8 2678 PL_PARKR 1,LINE,OUT,2674,PL_8,2678,PL_PARKR,1,,
DALNREN5,2355 RNRTPL1_ 2513 ALLENSW1 1,LINE,OUT,2355,RNRTPL1_,2513,ALLENSW1,1,,
DALNREN5,2514 ALLENSW2 2522 PL_TENNY 1,LINE,OUT,2514,ALLENSW2,2522,PL_TENNY,1,,
DALNREN8,2352 RNRTPL_W 2524 PL_COIT1 1,LINE,OUT,2352,RNRTPL_W,2524,PL_COIT1,1,,
DALNREN8,2368 ROLATER2 2566 CUSTER1_ 1,LINE,OUT,2368,ROLATER2,2566,CUSTER1_,1,,
DALNREN8,2370 COLLINSS 2566 CUSTER1_ 1,LINE,OUT,2370,COLLINSS,2566,CUSTER1_,1,,
DALNREN8,2509 ALLENSW_ 2525 PL_CUSTR 1,LINE,OUT,2509,ALLENSW_,2525,PL_CUSTR,1,,
DALNREN8,2510 ALLENSW_ 2526 PL_CUSTR 1,LINE,OUT,2510,ALLENSW_,2526,PL_CUSTR,1,,
DALNREN8,2524 PL_COIT1 2526 PL_CUSTR 1,LINE,OUT,2524,PL_COIT1,2526,PL_CUSTR,1,,
DALNREN8,2525 PL_CUSTR 10010 PRSTMDW 1,LINE,OUT,2525,PL_CUSTR,10010,PRSTMDW,1,,
DALNREN8,651 LEBANON 10010 PRSTMDW 1,LINE,OUT,651,LEBANON,10010,PRSTMDW,1,,
DALNREN8,651 LEBANON 2368 ROLATER2 1,LINE,OUT,651,LEBANON,2368,ROLATER2,1,,
DALNREN8,655 CUSTER 2566 CUSTER1_ 1,LINE,OUT,655,CUSTER,2566,CUSTER1_,1,,
DAMOAP98,38620 TNAMOCO 38720 TNAPACH 1,LINE,OUT,38620,TNAMOCO,38720,TNAPACH,1,,
DAMOAP98,38650 TNAMOCO 39400 TNGRANT 1,LINE,OUT,38650,TNAMOCO,39400,TNGRANT,1,,
DANAALN8,2341 TRINITYF 2374 ANNASW_8 1,LINE,OUT,2341,TRINITYF,2374,ANNASW_8,1,,
DANAALN8,2341 TRINITYF 2529 MCKNY1_8 1,LINE,OUT,2341,TRINITYF,2529,MCKNY1_8,1,,
DANAALN8,2341 TRINITYF 6880 TRNFLSRC 1,LINE,OUT,2341,TRINITYF,6880,TRNFLSRC,1,,
DANAALN8,2374 ANNASW_8 2544 CHAMBVLE 1,LINE,OUT,2374,ANNASW_8,2544,CHAMBVLE,1,,
DANAALN8,2509 ALLENSW_ 2531 ALLEN1_8 1,LINE,OUT,2509,ALLENSW_,2531,ALLEN1_8,1,,
DANAALN8,2510 ALLENSW_ 2549 ALLEN2_8 1,LINE,OUT,2510,ALLENSW_,2549,ALLEN2_8,1,,
DANAALN8,2529 MCKNY1_8 2560 MCKNY_TI 1,LINE,OUT,2529,MCKNY1_8,2560,MCKNY_TI,1,,
DANAALN8,2530 MCKNY_SW 2554 MCKNY_S1 1,LINE,OUT,2530,MCKNY_SW,2554,MCKNY_S1,1,,
DANAALN8,2530 MCKNY_SW 2560 MCKNY_TI 1,LINE,OUT,2530,MCKNY_SW,2560,MCKNY_TI,1,,
DANAALN8,2531 ALLEN1_8 2548 ALLEN_N2 1,LINE,OUT,2531,ALLEN1_8,2548,ALLEN_N2,1,,
DANAALN8,2532 MCKNY_TI 2560 MCKNY_TI 1,LINE,OUT,2532,MCKNY_TI,2560,MCKNY_TI,1,,
DANAALN8,2533 ALLEN_N1 2549 ALLEN2_8 1,LINE,OUT,2533,ALLEN_N1,2549,ALLEN2_8,1,,
DANAALN8,2533 ALLEN_N1 2556 CRGRNCH2 1,LINE,OUT,2533,ALLEN_N1,2556,CRGRNCH2,1,,
DANAALN8,2534 CRGRNCH1 2548 ALLEN_N2 1,LINE,OUT,2534,CRGRNCH1,2548,ALLEN_N2,1,,
DANAALN8,2534 CRGRNCH1 2554 MCKNY_S1 1,LINE,OUT,2534,CRGRNCH1,2554,MCKNY_S1,1,,
DANAALN8,2544 CHAMBVLE 2546 MCKNY2_8 1,LINE,OUT,2544,CHAMBVLE,2546,MCKNY2_8,1,,
DANAALN8,2544 CHAMBVLE 6875 CHAMB_RC 1,LINE,OUT,2544,CHAMBVLE,6875,CHAMB_RC,1,,
DANAALN8,2546 MCKNY2_8 2561 MCKNYWHT 1,LINE,OUT,2546,MCKNY2_8,2561,MCKNYWHT,1,,
DANAALN8,2547 MCKNY_SW 2557 MCKNY_S2 1,LINE,OUT,2547,MCKNY_SW,2557,MCKNY_S2,1,,
DANAALN8,2547 MCKNY_SW 2561 MCKNYWHT 1,LINE,OUT,2547,MCKNY_SW,2561,MCKNYWHT,1,,
DANAALN8,2553 MCKNYWHT 2561 MCKNYWHT 1,LINE,OUT,2553,MCKNYWHT,2561,MCKNYWHT,1,,
DANAALN8,2556 CRGRNCH2 2557 MCKNY_S2 1,LINE,OUT,2556,CRGRNCH2,2557,MCKNY_S2,1,,
DANAALN8,625 CRAIGRANC 2556 CRGRNCH2 1,LINE,OUT,625,CRAIGRANC,2556,CRGRNCH2,1,,
DANAALN8,626 CRAIGRNCH 2534 CRGRNCH1 1,LINE,OUT,626,CRAIGRNCH,2534,CRGRNCH1,1,,
DANAFMR5,1685 FARMVLSW 2373 ANNASW_5 1,LINE,OUT,1685,FARMVLSW,2373,ANNASW_5,1,,
DANAFMR5,1729 VAL_STH_ 2373 ANNASW_5 1,LINE,OUT,1729,VAL_STH_,2373,ANNASW_5,1,,
DANAKRW5,1730 W_KRUM_5 2373 ANNASW_5 1,LINE,OUT,1730,W_KRUM_5,2373,ANNASW_5,1,,
DANAKRW5,1730 W_KRUM_5 2373 ANNASW_5 2,LINE,OUT,1730,W_KRUM_5,2373,ANNASW_5,2,,
DANASP58,1730 W_KRUM_5 2373 ANNASW_5 1,LINE,OUT,1730,W_KRUM_5,2373,ANNASW_5,1,,
DANASP58,684 SPRING 704 MTNSPRNGS 1,LINE,OUT,684,SPRING,704,MTNSPRNGS,1,,
DANASP58,698 SALEM 707 HAWKINS8 1,LINE,OUT,698,SALEM,707,HAWKINS8,1,,
DANASP58,698 SALEM 708 KIOWA 1,LINE,OUT,698,SALEM,708,KIOWA,1,,
DANASP58,704 MTNSPRNGS 708 KIOWA 1,LINE,OUT,704,MTNSPRNGS,708,KIOWA,1,,
DANDAN18,1156 ANDREWS_ 1159 NOANDREW 1,LINE,OUT,1156,ANDREWS_,1159,NOANDREW,1,,
DANDAN18,1156 ANDREWS_ 1271 WHALENLK 1,LINE,OUT,1156,ANDREWS_,1271,WHALENLK,1,,
DANDAN18,1160 NOANDREW 1285 MEANS_9 1,LINE,OUT,1160,NOANDREW,1285,MEANS_9,1,,
DANDAN18,1267 ANDREWS_ 1270 FRNKLCTY 1,LINE,OUT,1267,ANDREWS_,1270,FRNKLCTY,1,,
DANDAN18,1270 FRNKLCTY 11274 FULLERT 1,LINE,OUT,1270,FRNKLCTY,11274,FULLERT,1,,
DANDAN18,1271 WHALENLK 1272 FULLERTO 1,LINE,OUT,1271,WHALENLK,1272,FULLERTO,1,,
DANDAN18,1274 FULERTON 11274 FULLERT 1,LINE,OUT,1274,FULERTON,11274,FULLERT,1,,
DANDAN18,1274 FULERTON 1285 MEANS_9 1,LINE,OUT,1274,FULERTON,1285,MEANS_9,1,,
DANDAN18,1275 EXXONFUL 11274 FULLERT 1,LINE,OUT,1275,EXXONFUL,11274,FULLERT,1,,
DANDAN18,1275 EXXONFUL 901130 FULERT 1,LINE,OUT,1275,EXXONFUL,901130,FULERT,1,,
DANDAN28,1156 ANDREWS_ 1159 NOANDREW 1,LINE,OUT,1156,ANDREWS_,1159,NOANDREW,1,,
DANDAN28,1156 ANDREWS_ 1271 WHALENLK 1,LINE,OUT,1156,ANDREWS_,1271,WHALENLK,1,,
